,title,persons,time,calories,stars,url,image
0,Courgette carbonara,4,20,575,0,https://www.ah.nl/allerhande/recept/R-R1188954/courgette-carbonara,https://static.ah.nl/static/recepten/img_RAM_PRD122151_1024x748_JPG.jpg
0,Mexicaanse taco's met vis en zoete aardappel,4,20,655,0,https://www.ah.nl/allerhande/recept/R-R1188828/mexicaanse-taco-s-met-vis-en-zoete-aardappel,https://static.ah.nl/static/recepten/img_092920_1024x748_JPG.jpg
0,Gegrilde-paprikasalade met feta en munt,4,15,205,0,https://www.ah.nl/allerhande/recept/R-R1188715/gegrilde-paprikasalade-met-feta-en-munt,https://static.ah.nl/static/recepten/img_090946_1024x748_JPG.jpg
0,Viscurry met zelfgemaakte currypasta,4,20,345,0,https://www.ah.nl/allerhande/recept/R-R1187967/viscurry-met-zelfgemaakte-currypasta,https://static.ah.nl/static/recepten/img_085986_1024x748_JPG.jpg
0,Spruitjesgratin met zoete aardappel,4,10,665,0,https://www.ah.nl/allerhande/recept/R-R1187741/spruitjesgratin-met-zoete-aardappel,https://static.ah.nl/static/recepten/img_085163_1024x748_JPG.jpg
0,Geroosterde groenten met gorgonzola,4,10,225,0,https://www.ah.nl/allerhande/recept/R-R1186108/geroosterde-groenten-met-gorgonzola,https://static.ah.nl/static/recepten/img_073434_1024x748_JPG.jpg
0,Thaise kokosnoedelsoep met garnalen,4,15,740,0,https://www.ah.nl/allerhande/recept/R-R1185039/thaise-kokosnoedelsoep-met-garnalen,https://static.ah.nl/static/recepten/img_098972_1024x748_JPG.jpg
0,Gevulde paprika's met rijst,4,20,595,0,https://www.ah.nl/allerhande/recept/R-R810342/gevulde-paprika-s-met-rijst,https://static.ah.nl/static/recepten/img_008124_1024x748_JPG.jpg
0,Kikkererwtencurry met pinda en spinazie en rijst ,4,30,570,0,https://www.ah.nl/allerhande/recept/R-R1195651/kikkererwtencurry-met-pinda-en-spinazie-en-rijst,https://static.ah.nl/static/recepten/img_RAM_PRD156612_1024x748_JPG.jpg
0,Jalapeño-poppers,12,5,45,0,https://www.ah.nl/allerhande/recept/R-R1194001/jalapeno-poppers,https://static.ah.nl/static/recepten/img_RAM_PRD134290_1024x748_JPG.jpg
0,Geroosterde aspergebroccoli met zwarte-knoflookdip,4,25,215,0,https://www.ah.nl/allerhande/recept/R-R1193040/geroosterde-aspergebroccoli-met-zwarte-knoflookdip,https://static.ah.nl/static/recepten/img_RAM_PRD123691_1024x748_JPG.jpg
0,Parelcouscoussalade met broccoli en rivierkreeftjes,4,15,385,0,https://www.ah.nl/allerhande/recept/R-R1193999/parelcouscoussalade-met-broccoli-en-rivierkreeftjes,https://static.ah.nl/static/recepten/img_RAM_PRD134333_1024x748_JPG.jpg
0,Meergranen stokbrood met cottage cheese en gerookte zalm,4,15,300,0,https://www.ah.nl/allerhande/recept/R-R1194386/meergranen-stokbrood-met-cottage-cheese-en-gerookte-zalm,https://static.ah.nl/static/recepten/img_RAM_PRD137224_1024x748_JPG.jpg
0,Bietencarpaccio met geitenkaasdressing,4,30,370,0,https://www.ah.nl/allerhande/recept/R-R1193217/bietencarpaccio-met-geitenkaasdressing,https://static.ah.nl/static/recepten/img_RAM_PRD126677_1024x748_JPG.jpg
0,Miso dressing met sojasaus,1,10,550,0,https://www.ah.nl/allerhande/recept/R-R1194121/miso-dressing-met-sojasaus,https://static.ah.nl/static/recepten/img_RAM_PRD135870_1024x748_JPG.jpg
0,Pindasoep met noedels en champignons,4,20,495,0,https://www.ah.nl/allerhande/recept/R-R1194536/pindasoep-met-noedels-en-champignons,https://static.ah.nl/static/recepten/img_RAM_PRD140222_1024x748_JPG.jpg
0,Macarons,20,30,80,0,https://www.ah.nl/allerhande/recept/R-R1193608/macarons,https://static.ah.nl/static/recepten/img_RAM_PRD130172_1024x748_JPG.jpg
0,Open dumplings met garnalen in Siu Mai-stijl,24,40,55,0,https://www.ah.nl/allerhande/recept/R-R1195161/open-dumplings-met-garnalen-in-siu-mai-stijl,https://static.ah.nl/static/recepten/img_RAM_PRD147751_1024x748_JPG.jpg
0,Kaaskroketten,20,45,230,0,https://www.ah.nl/allerhande/recept/R-R1185294/kaaskroketten,https://static.ah.nl/static/recepten/img_065502_1024x748_JPG.jpg
0,Pappardelle met asperges en zalm,4,25,585,0,https://www.ah.nl/allerhande/recept/R-R1188573/pappardelle-met-asperges-en-zalm,https://static.ah.nl/static/recepten/img_089577_1024x748_JPG.jpg
0,Wokschotel met puntpaprika en kibbeling,4,30,585,0,https://www.ah.nl/allerhande/recept/R-R1149214/wokschotel-met-puntpaprika-en-kibbeling,https://static.ah.nl/static/recepten/img_060041_1024x748_JPG.jpg
0,Kruidnoten in marsepein,4,25,265,0,https://www.ah.nl/allerhande/recept/R-R1195892/kruidnoten-in-marsepein,https://static.ah.nl/static/recepten/img_RAM_PRD156798_1024x748_JPG.jpg
0,Spaghetti bolognese met geraspte kaas,4,35,706,0,https://www.ah.nl/allerhande/recept/R-R1194857/spaghetti-bolognese-met-geraspte-kaas,https://static.ah.nl/static/recepten/img_RAM_PRD143856_1024x748_JPG.jpg
0,Pad thai met tofu en ei,4,30,540,0,https://www.ah.nl/allerhande/recept/R-R1055448/pad-thai-met-tofu-en-ei,https://static.ah.nl/static/recepten/img_054012_1024x748_JPG.jpg
